Country_One,Country_Two,Similarity
albanien,serbien,0.42189681738843965
albanien,singapur,0.25601475399589746
albanien,slowakei,0.3319459526231431
albanien,slowenien,0.3817602797327748
albanien,somalia,0.395711451240244
albanien,spanien,0.25627966209223163
albanien,südafrika,0.2336489483175372
albanien,sudan,0.3876204964493598
albanien,südkorea,0.24234664752821736
albanien,südsudan,0.39670236867759834
albanien,syrien,0.43856409901641225
albanien,tansania,0.3177838374760307
albanien,thailand,0.32996054273303566
albanien,tschechien,0.30707008674589975
albanien,türkei,0.3679351756531861
albanien,uganda,0.3278674030453343
albanien,ukraine,0.3337829678076748
albanien,ungarn,0.33485413112973
albanien,usa,0.24012013990657993
albanien,vereinigtes_königreich,0.2307580401764215
albanien,vietnam,0.28877374864597327
albanien,zypern,0.3072181239612909
algerien,angola,0.2619368235716397
algerien,argentinien,0.345318455738191
algerien,armenien,0.3218334973874467
algerien,aserbaidschan,0.25265665878931276
algerien,äthiopien,0.35144851404685473
algerien,australien,0.20742588946010035
algerien,bangladesch,0.28235923793844087
algerien,belarus,0.2677371762842251
algerien,belgien,0.14093366548157252
algerien,bosnien_und_herzegowina,0.2440208315635729
algerien,brasilien,0.2739365120961266
algerien,bulgarien,0.28670426121989795
algerien,chile,0.21576837701570153
algerien,china,0.2934629067054142
algerien,dänemark,0.1793581284989572
algerien,estland,0.17357359921024015
algerien,finnland,0.12518512949637264
algerien,frankreich,0.20276936097484052
algerien,georgien,0.23824826953766381
algerien,ghana,0.28607668544253223
algerien,griechenland,0.2306473840418134
algerien,hongkong,0.1842587949325308
algerien,indien,0.24246409886135542
algerien,indonesien,0.3362620061516238
algerien,irak,0.3781872798748056
algerien,iran,0.3958268211196541
algerien,irland,0.17296461344232197
algerien,island,0.2913444704835969
algerien,israel,0.24934173816021876
algerien,italien,0.23684668022871672
algerien,japan,0.1743679354479434
algerien,kambodscha,0.289531353957287
algerien,kanada,0.2558383485003752
algerien,kasachstan,0.28311899729065415
algerien,kenia,0.3818956773903709
algerien,kolumbien,0.24999959490891902
algerien,kongo,0.37209580790375074
algerien,kroatien,0.13485141516735197
algerien,kuba,0.2669146602176689
algerien,lettland,0.23930939402545326
algerien,libyen,0.3630059139837296
algerien,litauen,0.18399770802358434
algerien,luxemburg,0.1457141550158329
algerien,malaysia,0.30302977699012884
algerien,mali,0.34703361185526044
algerien,malta,0.21324749804473217
algerien,mazedonien,0.28343750419833447
algerien,mexiko,0.16186050423370568
algerien,montenegro,0.19153930800662816
algerien,mosambik,0.3224126008594029
algerien,namibia,0.309300116656543
algerien,nepal,0.23473719518359443
algerien,neuseeland,0.13721878339067445
algerien,niederlande,0.16551628968858112
algerien,niger,0.32463014428607173
algerien,nigeria,0.37160709274951365
algerien,nordkorea,0.3125097488543068
algerien,norwegen,0.21736200331802846
algerien,österreich,0.1297707167040279
algerien,pakistan,0.26913304840518
algerien,philippinen,0.2532086423459974
algerien,polen,0.1905257751431356
algerien,portugal,0.19931163284417142
algerien,ruanda,0.35088153945981554
algerien,rumänien,0.20942286924132392
algerien,saudi_arabien,0.33370187710417587
algerien,schweden,0.16108764967024758
algerien,schweiz,0.1606731124682156
algerien,senegal,0.2434887916501614
algerien,serbien,0.28407606945105457
algerien,singapur,0.2040309844104763
algerien,slowakei,0.15903753846337187
algerien,slowenien,0.12214685081055753
algerien,somalia,0.4286103726911269
algerien,spanien,0.14652887680299082
algerien,südafrika,0.22240833787403705
algerien,sudan,0.35127033976652555
algerien,südkorea,0.2543233529219596
algerien,südsudan,0.34122836685660207
algerien,syrien,0.44704593791048586
algerien,tansania,0.2924996184600712
algerien,thailand,0.26854257657551306
algerien,tschechien,0.16755063679196203
algerien,türkei,0.3871592746518093
algerien,uganda,0.28317880898415204
algerien,ukraine,0.19404986934006624
algerien,ungarn,0.12553888173009467
