,negative_prob,positive_prob
krankheitsbildern,0.942632122362924,0.047385044994825716
verdrossenheit,0.9744759451363376,0.02255947816824251
hungersnot,0.9999959909189003,0.0004982314403771181
verfassungswidrigen,0.9799296518092644,0.03193178076021877
desintegration,0.9840855594020538,0.016890155218745262
widerliche,0.9460645903105876,0.09592937824181846
wehre,0.9534723995697502,0.05423605250853771
bedingte,0.99288415482417,0.008906107059813166
verfassungsfeindlich,0.9684048280605744,0.03846217027278518
drogenanbaus,0.953606031052194,0.07377079596153542
begrifflichkeiten,0.9401114851236072,0.011973251477725018
bausektor,0.9581121037200032,0.0021042349673509263
genitalverstümmelung,0.9464068346226814,0.033735072347939245
zorn,0.9963637940607959,0.004421045536303724
rechtsstreitigkeiten,0.9764813336078724,0.030748534182045588
kleinkriminalität,0.967156430902216,0.02032503601860073
bezichtigt,0.9932206965855621,0.014341051152778504
pflichtverletzung,0.9721534866992296,0.015830172726736858
abrücken,0.9440156687695304,0.0359552444730746
marktmissbrauch,0.9869037460356912,0.016111058534217536
landraub,0.9964781368928636,0.004836394801385512
gewaltbereite,0.9755262412258796,0.04890318001276274
investitionsstaus,0.961157836893064,0.07776876814922819
gescheiterten,0.969198402784554,0.05757456746494044
osmanischen,0.9635435907402512,0.04390954741415885
untergang,0.9349771136346856,0.06861555367078581
euvertragsverletzungsverfahren,0.9361522576677328,0.03516943877777092
wirbelstürme,0.9591576282555601,0.02201985381618969
abgewiesen,0.9886219482672978,0.012428413544554071
massenmörder,0.9389882931621196,0.04213783815910187
anschlags,0.972900867746376,0.03183320387709139
heftigkeit,0.9634234932885412,0.0374452991418869
islamistischem,0.9549396143092632,0.08738186290684437
verniedlicht,0.9944274161351018,0.00728915034977507
auszusitzen,0.9807992657347966,0.02112186064750225
zwangsverheiratungen,0.9936159017288688,0.024568849911890324
visavergabe,0.9320573316551998,0.05134986476452756
vorgebrachte,0.9490090165572199,0.08416037834956236
dumpfe,0.9832537822513152,0.03108078563226337
gepumpt,0.9766709026612942,0.07082919886164385
schuldenfalle,0.9929467399621382,0.006979219048243579
kindesmissbrauch,0.9967930575076404,0.0073252785454265895
auszuschalten,0.9885048058163776,0.015056772231885803
mitleidenschaft,0.9875368216367834,0.006025121775999271
wiederaufflammen,0.982779135673478,0.013042843165728416
involviert,0.9838337493047804,0.00868048334014735
einzelschicksale,0.996434959415454,0.005377936120893797
aberwitzigen,0.9304199998257141,0.08730625861611647
überzählige,0.930282157134916,0.04550981240713775
wasserwerfer,0.9464755348477988,0.016495840459193736
geschlechtsspezifischer,0.9913738925590492,0.02394545720745601
delikt,0.9829553082092974,0.006340418052961597
unklarheit,0.9946285095148628,0.00765086084056372
vermeidet,0.9766799267186924,0.03039825782557644
stammbelegschaften,0.9686475088226928,0.0130337127957879
unrechtsregime,0.9800754375468748,0.00790762474136799
politisierung,0.9733703871588929,0.021039604547904062
finanzierungsschwierigkeiten,0.9651006365961736,0.05467601812104657
stigma,0.9963743003826958,0.00320273374310116
libysche,0.9788225364276156,0.013067366150519977
maroden,0.9783797631490326,0.03559772603812196
tabuisiert,0.9999931117759244,0.0026513734910847053
ausufernde,0.9450660117513676,0.1413660922721588
drohungen,0.9999823008806488,0.004550696072325029
fremdbestimmung,0.99383604595465,0.014135910054547103
tschetschenische,0.9999872944171768,0.007944149038562505
interessenkollisionen,0.9853277395144427,0.010645910804859998
blindheit,0.9999836303291108,0.003983517870184111
wahrnehmungen,0.9483155765033962,0.018181662812543777
regimes,0.9358741077759056,0.05975762160127236
zugekommen,0.951724223623814,0.08593122595919317
blamage,0.9795006594517324,0.03210811779863116
downsyndrom,0.9504539167908972,0.015480244041890344
verdächtigung,0.9959510771609756,0.0022520575598584127
argumentationen,0.9321025890913208,0.032359356705216266
gefälle,0.9732890104870808,0.009458665702590536
dümpeln,0.9483058890541624,0.06117599520782638
totschlags,0.9731031651112964,0.022736487212462072
abdriften,0.9839463590175292,0.01843564449418253
kopfschmerzen,0.948841763822786,0.027665404199062226
wanderungsbewegungen,0.9849122603445642,0.02135533908204865
irgendjemanden,0.9801980169712888,0.01654180741116511
militärschläge,0.9747657076696609,0.06504349934218244
soße,0.9504621942735844,0.012377877475043314
mordes,0.9849240358396888,0.020751658988692245
analphabetismus,0.9649934573611364,0.09996213229683212
verschiebungen,0.9904769503524326,0.01397305248848084
verlaufende,0.9417854172247496,0.04735183648307212
anreden,0.9777106757809221,0.016730536985334117
einzureden,0.980301619115194,0.07139223906401658
ideologen,0.9860775851807992,0.014104342094711491
betrafen,0.9472667826996082,0.03407103128444036
übergewicht,0.9314613704690228,0.0320851848143788
antiterrorkrieg,0.964986160493966,0.023125112816976226
schleusern,0.9999924830317306,0.0043891287945296
sorte,0.957423123569318,0.005832937526909913
erniedrigender,0.965368506312006,0.0379813410005507
